spotify_id,spotify_uri,album,name,popularity,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5dSidrJ5XHdP1xb11xpV2z,spotify:track:5dSidrJ5XHdP1xb11xpV2z,Life Is But a Dream…,Game Over,70,2023-06-02,1,0.357,0.841,9,-9.217,1,0.063,0.0034,0.0507,0.151,0.114,87.01,226067,4
4KyghCEewQOSZ4OdvQwFN3,spotify:track:4KyghCEewQOSZ4OdvQwFN3,Life Is But a Dream…,Mattel,70,2023-06-02,2,0.291,0.822,2,-7.089,0,0.0459,9.8e-05,0.0275,0.113,0.264,127.1,330387,4
4Rs2N7ewIjanXUNYtMKK3j,spotify:track:4Rs2N7ewIjanXUNYtMKK3j,Life Is But a Dream…,Nobody,70,2023-06-02,3,0.353,0.677,7,-8.159,1,0.041,0.000908,2.91e-06,0.276,0.222,73.762,353987,4
0JUZetZb7lxLsmT7HwNCQv,spotify:track:0JUZetZb7lxLsmT7HwNCQv,Life Is But a Dream…,We Love You,67,2023-06-02,4,0.309,0.813,9,-9.647,0,0.0471,0.000441,0.187,0.0625,0.108,140.034,375027,4
1xA87lWGnZlIjG8tw4327F,spotify:track:1xA87lWGnZlIjG8tw4327F,Life Is But a Dream…,Cosmic,69,2023-06-02,5,0.271,0.722,9,-8.025,1,0.0509,0.00168,0.0111,0.166,0.162,127.02,451160,4
0hTO34HlurDf9J8LSZm7Nl,spotify:track:0hTO34HlurDf9J8LSZm7Nl,Life Is But a Dream…,Beautiful Morning,66,2023-06-02,6,0.483,0.695,4,-8.27,0,0.0332,0.000485,0.473,0.144,0.108,132.052,392147,4
6qXVuEYcL6M4Yc1zyY5F8D,spotify:track:6qXVuEYcL6M4Yc1zyY5F8D,Life Is But a Dream…,Easier,65,2023-06-02,7,0.435,0.709,9,-8.189,1,0.0455,0.0135,0.324,0.208,0.322,149.762,217760,4
3hpB5SlyESKXrmc6NUNQhd,spotify:track:3hpB5SlyESKXrmc6NUNQhd,Life Is But a Dream…,G,66,2023-06-02,8,0.396,0.861,2,-7.891,1,0.0419,0.000459,0.00214,0.181,0.441,89.732,217653,4
5Jfa1TJRwDnofxUlDg1yQy,spotify:track:5Jfa1TJRwDnofxUlDg1yQy,Life Is But a Dream…,(O)rdinary,67,2023-06-02,9,0.618,0.708,0,-7.778,0,0.0305,0.00242,0.0524,0.195,0.541,115.039,172319,4
1CuHu4a51IOR4LXjB5jObB,spotify:track:1CuHu4a51IOR4LXjB5jObB,Life Is But a Dream…,(D)eath,65,2023-06-02,10,0.172,0.432,6,-10.295,0,0.0324,0.381,0.00277,0.2,0.175,129.514,199508,4
3mkLW2ip0xiBHGUzhcxgHx,spotify:track:3mkLW2ip0xiBHGUzhcxgHx,Life Is But a Dream…,Life Is But a Dream...,64,2023-06-02,11,0.427,0.114,10,-20.378,1,0.0387,0.707,0.879,0.106,0.107,123.726,269880,3
6OJ2Q3WF6fWsSDXJ7x21ja,spotify:track:6OJ2Q3WF6fWsSDXJ7x21ja,Live in the LBC,Intro - Live,39,2020-03-06,1,0.197,0.55,8,-14.023,1,0.178,0.13,0.82,0.414,0.163,235.998,55880,3
1YQwSXwOyiHsDhuHK4qwef,spotify:track:1YQwSXwOyiHsDhuHK4qwef,Live in the LBC,Critical Acclaim - Live,47,2020-03-06,2,0.422,0.955,2,-7.368,0,0.133,6.86e-05,6.87e-05,0.51,0.112,137.998,366200,4
1OCJTJmvLswgUFmWGyAfMB,spotify:track:1OCJTJmvLswgUFmWGyAfMB,Live in the LBC,Second Heartbeat - Live,46,2020-03-06,3,0.338,0.978,0,-7.411,0,0.0946,1.5e-05,0.0103,0.869,0.117,96.838,307667,4
4A8maWsDAZ51QngVy9tU4S,spotify:track:4A8maWsDAZ51QngVy9tU4S,Live in the LBC,Afterlife - Live,46,2020-03-06,4,0.469,0.933,2,-8.278,0,0.119,6.14e-05,4.66e-05,0.812,0.23,110.03,427680,4
6VOJIfQBE4P21mnBA82nIK,spotify:track:6VOJIfQBE4P21mnBA82nIK,Live in the LBC,Beast and the Harlot - Live,45,2020-03-06,5,0.378,0.981,0,-7.47,0,0.195,5.47e-06,0.000111,0.815,0.143,155.004,386813,4
